,cso_1,cso_20,cso_2a,cso_21a,cso_10,cso_21b,cso_2b,obj_fun_sum,spill_sum
05/06 12:30,1.932,17.837,45.733,3.633,0.0,0.029088,0.3402799999999999,69.50436799999999,232.45999999999995
05/06 13:18,1.94,17.1,45.226,2.954,0.0,0.024368,0.345214,67.58958200000002,230.11399999999995
05/06 13:33,10.549,21.932,18.469,1.111,0.0,0.0189039999999999,0.281356,52.36126,187.787
05/06 17:06,6.53,22.366,38.663,1.945,0.0,0.021092,0.30234,69.82743200000002,208.268
05/06 17:11,6.53,22.382,38.663,1.945,0.0,0.0210619999999999,0.302698,69.84376000000002,208.44
05/06 17:17,6.53,22.394,39.751,1.111,0.0,0.018818,0.301628,70.106446,206.916
05/06 17:22,6.53,22.366,38.663,1.945,0.0,0.021092,0.30234,69.82743200000002,208.268
05/06 17:27,10.331,17.177,22.24,2.317,0.0,0.020932,0.289264,52.375196,191.71500000000003
05/06 17:44,9.115,17.468,25.663,2.369,0.0,0.020168,0.2923779999999999,54.92754599999999,194.158
05/06 17:48,7.973999999999999,22.073,38.861,1.709,0.0,0.020837999999999995,0.299154,70.936992,207.089
